"Normalized fader value"	"Reported dB"
1	6.0
0.99	5.8
0.98	5.5
0.97	5.2
0.96	5.0
0.95	4.7
0.94	4.4
0.93	4.1
0.92	3.8
0.91	3.6
0.9	3.3
0.89	3.0
0.88	2.7
0.87	2.4
0.86	2.1
0.85	1.8
0.84	1.5
0.83	1.2
0.82	0.8
0.81	0.5
0.8	0.2
0.79	-0.1
0.78	-0.5
0.77	-0.8
0.76	-1.1
0.75	-1.5
0.74	-1.8
0.73	-2.2
0.72	-2.5
0.71	-2.9
0.7	-3.3
0.69	-3.6
0.68	-4.0
0.67	-4.4
0.66	-4.8
0.65	-5.2
0.64	-5.6
0.63	-6.0
0.62	-6.4
0.61	-6.9
0.6	-7.3
0.59	-7.7
0.58	-8.2
0.57	-8.6
0.56	-9.1
0.55	-9.6
0.54	-10.0
0.53	-10.5
0.52	-11.0
0.51	-11.5
0.5	-12.0
0.49	-12.6
0.48	-13.1
0.47	-13.7
0.46	-14.2
0.45	-14.8
0.44	-15.4
0.43	-16.0
0.42	-16.6
0.41	-17.2
0.4	-17.9
0.39	-18.5
0.38	-19.2
0.37	-19.9
0.36	-20.6
0.35	-21.3
0.34	-22.1
0.33	-22.9
0.32	-23.7
0.31	-24.5
0.3	-25.4
0.29	-26.2
0.28	-27.1
0.27	-28.1
0.26	-29.1
0.25	-30.1
0.24	-31.2
0.23	-32.3
0.22	-33.4
0.21	-34.6
0.2	-35.9
0.19	-37.3
0.18	-38.7
0.17	-40.2
0.16	-41.7
0.15	-43.4
0.14	-45.2
0.13	-47.1
0.12	-49.2
0.11	-51.5
0.1	-54.0
0.09	-56.7
0.08	-59.8
0.07	-63.3
0.06	-67.3
0.05	-72.0
0.04	-77.9
0.03	-85.4
0.02	-95.9
0.01	-114
0	-1.00E+99
