"Normalized fader value"	"Reported dB"
1	6
0.99	5.6
0.98	5.2
0.97	4.8
0.96	4.4
0.95	4
0.94	3.6
0.93	3.2
0.92	2.8
0.91	2.4
0.9	2
0.89	1.6
0.88	1.2
0.87	0.8
0.86	0.4
0.85	0
0.84	-0.4
0.83	-0.8
0.82	-1.2
0.81	-1.6
0.8	-2
0.79	-2.4
0.78	-2.8
0.77	-3.2
0.76	-3.6
0.75	-4
0.74	-4.4
0.73	-4.8
0.72	-5.2
0.71	-5.6
0.7	-6
0.69	-6.4
0.68	-6.8
0.67	-7.2
0.66	-7.6
0.65	-8
0.64	-8.4
0.63	-8.8
0.62	-9.2
0.61	-9.6
0.6	-10
0.59	-10.4
0.58	-10.8
0.57	-11.2
0.56	-11.6
0.55	-12
0.54	-12.4
0.53	-12.8
0.52	-13.2
0.51	-13.6
0.5	-14
0.49	-14.4
0.48	-14.8
0.47	-15.2
0.46	-15.6
0.45	-16
0.44	-16.4
0.43	-16.8
0.42	-17.2
0.41	-17.6
0.4	-18
0.39	-18.44
0.38	-18.92
0.37	-19.44
0.36	-20
0.35	-20.6
0.34	-21.24
0.33	-21.92
0.32	-22.64
0.31	-23.4
0.3	-24.2
0.29	-25.04
0.28	-25.92
0.27	-26.84
0.26	-27.8
0.25	-28.8
0.24	-29.84
0.23	-30.92
0.22	-32.04
0.21	-33.2
0.2	-34.4
0.19	-35.64
0.18	-36.92
0.17	-38.24
0.16	-39.6
0.15	-41
0.14	-42.44
0.13	-43.92
0.12	-45.44
0.11	-47
0.1	-48.6
0.09	-50.24
0.08	-51.92
0.07	-53.64
0.06	-55.4
0.05	-57.2
0.04	-59.04
0.03	-60.92
0.02	-63.373
0.01	-66.4
0	-1.00E+99
