Ypx = distance in pixels
 dB = fader label
  C = client value [0,1]
  H = host value [0,max]


Ableton Live
------------

Ypx    dB     C      H

626    6    1.000  1.000
562    0    0.898  0.850
500   -6    0.799  0.700
440   -12   0.703  0.551
376   -18   0.601  0.401
312   -24   0.498  0.302
250   -30   0.399  0.239
194   -36   0.310  0.186
148   -42   0.236  0.142
108   -48   0.172  0.103
 70   -54   0.112  0.070
 36   -60   0.058  0.035
  0   -∞    0.000  0.000


Bitwig Studio
-------------

Ypx    dB     C      H

106    6    1.000  1.000
 94    0    0.887  0.793
 80   -6    0.755  0.630
 66   -12   0.623  0.500
 52   -18   0.491  0.398
 42   -24   0.396  0.316
 24   -36   0.226  0.200
  0   -∞    0.000  0.000
